dateHour,fuelMassConsumption
2010-02-16T12,0.30981041739139864
2010-02-16T13,1.6726152498564182
2010-02-16T14,1.663354874814585
2010-02-16T15,0.32952137004458754
2010-02-17T06,0.5208581679835527
2010-02-17T07,2.087810936571209
2010-02-17T08,1.731743285974995
2010-02-17T12,0.48491281389816904
2010-02-17T13,2.0787218066509565
2010-02-17T14,0.8773071054728596
2010-02-17T16,0.32586119631897226
2010-02-17T17,2.1951985394940174
2010-02-17T18,2.0252012133180353
2010-02-17T19,1.1441390034375831
2010-02-17T20,2.264180915953869
2010-02-17T21,0.59635862329995
2010-02-18T06,0.5092737355891684
2010-02-18T07,2.275557263538848
2010-02-18T08,1.026372077838325
2010-02-18T09,1.605431934348985
2010-02-18T10,1.8243562467683836
2010-02-18T15,1.4851807159225325
2010-02-18T16,2.269579277667912
2010-02-18T17,0.21583777668334303
2010-02-18T18,0.6606828212657982
2010-02-18T19,2.2681664189894892
2010-02-18T20,0.9746885476417573
2010-02-19T06,0.4826549897273095
2010-02-19T07,2.038621666033416
2010-02-19T08,1.0009733366909663
2010-02-19T12,0.4550365431430803
2010-02-19T13,2.118662706554162
2010-02-19T14,0.8079475609963535
2010-02-19T15,1.5210605520603644
2010-02-19T16,2.2572508880400015
2010-02-19T17,0.4827449439154836
2010-02-19T18,1.4697470960110146
2010-02-19T19,2.113410970716867
2010-02-19T20,0.6781992667240568
2010-02-19T21,1.872333738812124
2010-02-19T22,1.5584325989034062
2010-02-20T06,0.4199720985313729
2010-02-20T07,2.1052361936387087
2010-02-20T08,1.1653738426433506
2010-02-20T09,1.6151790474338514
2010-02-20T10,2.2646873145683757
2010-02-20T11,0.6223934826519497
2010-02-20T16,1.5068887416240702
2010-02-20T17,2.1805129005510544
2010-02-20T18,1.596959609579694
2010-02-20T19,2.264965637723016
2010-02-20T20,1.584507161447005
2010-02-20T21,2.2556921115908337
2010-02-20T22,1.0111230690044775
2010-02-21T08,1.6210813636352044
2010-02-21T09,2.271815374447763
2010-02-21T10,1.3564088155040432
2010-02-21T11,2.2534860070655287
2010-02-21T12,1.0435926854838034
2010-02-21T17,1.5631189860964796
2010-02-21T18,2.2647268439042834
2010-02-21T19,1.0565731667381597
2010-02-21T20,1.710424484006556
2010-02-21T21,2.172187955305503
2010-02-21T22,0.0942871426237586
2010-02-22T05,0.49884186398454283
2010-02-22T06,2.2611641826348285
2010-02-22T07,1.2081991800404699
2010-02-22T08,1.1469276940603068
2010-02-22T09,2.04954378711289
2010-02-22T10,0.8654322271672482
2010-02-22T11,2.081883358536326
2010-02-22T12,0.9800515014700963
2010-02-22T15,0.16669425499934099
2010-02-22T16,2.0815012431872395
2010-02-22T17,1.1909421321040286
2010-02-22T18,1.5211750006668123
2010-02-22T19,2.014072302073859
2010-02-22T20,0.595543113085858
2010-02-22T21,0.6422106210883044
2010-02-23T12,0.37158332018891016
2010-02-23T13,1.9723590860711449
2010-02-23T14,1.0305162338486447
2010-02-23T15,1.4851732105396287
2010-02-23T16,1.9958792429844645
2010-02-23T17,0.19618405551518467
2010-02-23T18,1.4323010178606443
2010-02-23T19,1.9287232591245476
2010-02-23T20,0.009325114763126348
2010-02-24T06,0.4460923926510507
2010-02-24T07,2.2687238266769874
2010-02-24T08,2.1299948016358394
2010-02-24T09,0.07685074585573821
2010-02-24T12,0.3930923982776967
2010-02-24T13,2.13705531675342
2010-02-24T14,1.252582136636013
2010-02-24T15,1.610394392343286
2010-02-24T16,2.2650794291247704
2010-02-24T17,0.72639930966924
2010-02-24T18,1.4136146291941476
2010-02-24T19,2.0745326689977577
2010-02-24T20,0.1337831741336496
2010-02-25T06,0.47798273103636746
2010-02-25T07,2.260994268035192
2010-02-25T08,1.344794030711811
2010-02-25T09,1.4348312589250636
2010-02-25T10,2.018787205464647
2010-02-25T11,0.10356576005216724
2010-02-25T15,0.9807552628309568
2010-02-25T16,2.2613996348824332
2010-02-25T17,0.6700248062649251
2010-02-25T18,1.1179250340558804
2010-02-25T19,2.2636839580542625
2010-02-25T20,0.4527766975847455
2010-02-26T06,0.5394505253136119
2010-02-26T07,2.256113248878279
2010-02-26T08,1.3239903883915372
2010-02-26T12,0.4405690365210541
2010-02-26T13,1.706163849635518
2010-02-26T14,1.0805317482169847
2010-02-26T15,1.5936911969288976
2010-02-26T16,1.6780955325084912
2010-02-26T17,0.12357743118429967
2010-02-26T18,1.6646897749621077
2010-02-26T19,2.0661208895552408
2010-02-26T20,0.56500757193764
2010-02-26T21,2.2676540084530745
2010-02-26T22,1.1135860039273051
2010-02-27T06,0.4916128560997513
2010-02-27T07,2.055664155551222
2010-02-27T08,0.8436553068415137
2010-02-27T09,1.595576723866509
2010-02-27T10,2.1143676059269403
2010-02-27T11,0.1290682724185113
2010-02-27T15,0.5193647195108344
2010-02-27T16,2.153874456904453
2010-02-27T17,1.0559427080175101
2010-02-27T18,1.7115527117281182
2010-02-27T19,2.0743678823321123
2010-02-27T20,1.6278040635710078
2010-02-27T21,1.6931882765002977
2010-02-28T08,1.5017665002370928
2010-02-28T09,2.240319496897281
2010-02-28T10,1.3482738346157739
2010-02-28T11,1.6240346401891328
2010-02-28T12,0.16972357705918825
2010-02-28T17,1.6505365886613939
2010-02-28T18,1.9227918973622147
2010-02-28T19,0.5420128592729764
2010-02-28T20,2.262720358422312
2010-02-28T21,0.8236261263176379
